"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0500000US01001","Autauga County, Alabama","22523","431","3.7","1.0","3.0","0.9","7.9","1.7","9.1","1.8","11.4","1.6","18.2","2.1","15.1","1.8","15.3","1.9","7.9","1.4","8.4","1.6","69841","5512","93367","6187","33.4","(X)","(X)","(X)","(X)","(X)","15674","559","2.9","1.2","1.7","1.0","4.9","1.9","5.7","1.8","9.3","1.9","19.0","2.7","17.8","2.4","17.1","2.4","10.7","2.0","10.8","2.1","83452","4339","109137","8179","(X)","(X)","32.6","(X)","(X)","(X)","11861","633","2.5","1.3","0.4","0.7","3.8","1.9","4.0","1.4","8.3","2.4","15.7","2.4","17.3","2.6","21.0","3.1","13.3","2.6","13.7","2.6","96453","5674","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6849","674","5.9","2.1","7.2","2.6","15.6","3.4","18.5","4.4","15.8","3.0","14.4","3.3","9.4","2.5","9.1","2.8","1.5","1.1","2.7","1.5","38506","4301","54189","5472","(X)","(X)","(X)","(X)","32.8","(X)",
"0500000US01003","Baldwin County, Alabama","94642","1316","4.2","0.8","3.8","0.7","6.4","0.8","7.8","1.0","11.4","0.9","16.5","1.2","14.1","1.3","18.3","1.1","8.0","1.0","9.7","1.0","75019","2751","100105","2656","34.9","(X)","(X)","(X)","(X)","(X)","64593","1740","2.2","0.5","1.8","0.6","3.9","0.7","5.2","0.7","10.1","1.0","15.7","1.4","15.3","1.3","22.1","1.6","10.4","1.4","13.3","1.4","92918","3218","119421","3603","(X)","(X)","37.5","(X)","(X)","(X)","53118","1615","0.8","0.3","0.9","0.3","2.5","0.7","3.9","0.7","8.8","1.2","14.0","1.6","16.6","1.5","25.1","1.9","11.5","1.6","15.9","1.6","103126","2651","132101","4067","(X)","(X)","(X)","(X)","(X)","(X)","30049","1619","9.2","1.9","8.5","1.8","12.2","1.9","13.9","2.4","14.1","1.8","18.7","2.3","10.5","2.4","8.6","1.6","2.7","1.0","1.7","0.7","41784","2163","56026","3448","(X)","(X)","(X)","(X)","28.2","(X)",
"0500000US01005","Barbour County, Alabama","9080","315","10.6","2.4","6.5","1.8","14.2","2.1","11.8","2.4","12.9","2.4","15.8","2.7","8.4","1.5","12.6","2.2","3.3","1.0","3.8","1.2","44290","2762","64745","4163","52.6","(X)","(X)","(X)","(X)","(X)","5990","316","8.0","2.1","4.7","2.0","7.9","2.5","12.0","3.0","12.9","2.9","16.1","3.3","12.5","2.5","16.0","3.3","4.8","1.5","5.1","1.6","60474","5409","77821","5876","(X)","(X)","54.6","(X)","(X)","(X)","3572","287","0.9","0.7","2.3","1.6","5.6","2.1","6.7","2.0","13.0","3.9","19.8","4.5","12.9","2.9","22.5","4.4","7.8","2.5","8.4","2.6","76842","6085","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3090","296","17.0","5.8","10.9","3.9","27.2","5.3","13.2","3.8","11.1","3.3","13.4","4.0","1.9","0.9","3.6","1.7","0.2","0.3","1.5","1.2","23054","2119","36292","5068","(X)","(X)","(X)","(X)","48.7","(X)",
"0500000US01007","Bibb County, Alabama","7571","288","6.4","1.9","8.0","2.7","11.0","3.0","10.5","3.2","13.2","2.9","16.0","3.7","13.5","3.4","13.2","2.9","4.9","1.4","3.2","1.5","51215","6678","67735","4849","35.8","(X)","(X)","(X)","(X)","(X)","5264","330","6.5","2.6","3.0","1.5","6.4","2.1","8.4","3.7","11.7","3.5","19.6","4.4","15.8","4.1","17.8","4.1","6.6","1.9","4.3","2.0","67222","8424","79298","5491","(X)","(X)","35.5","(X)","(X)","(X)","3971","359","2.7","1.7","1.6","1.2","2.6","1.3","7.8","4.1","12.5","4.0","17.8","4.0","18.5","5.1","23.1","5.2","8.1","2.6","5.3","2.6","82741","7301","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2307","312","8.5","3.8","20.4","7.5","20.7","7.6","16.4","5.8","14.2","5.5","8.8","4.7","6.8","4.2","2.5","2.0","1.1","1.1","0.7","0.8","25288","5405","39118","8949","(X)","(X)","(X)","(X)","36.5","(X)",
"0500000US01009","Blount County, Alabama","21977","403","6.1","1.5","5.4","1.3","8.1","1.2","9.1","1.7","13.9","1.5","16.4","2.1","12.6","1.8","16.3","1.9","6.7","1.2","5.5","1.2","61096","3328","79203","3613","41.7","(X)","(X)","(X)","(X)","(X)","15625","512","3.1","1.0","2.1","1.0","4.9","1.2","7.8","1.7","11.4","1.6","19.8","2.7","15.9","2.5","20.5","2.4","7.6","1.5","6.9","1.6","76388","5050","91220","4646","(X)","(X)","41.9","(X)","(X)","(X)","12090","555","1.4","0.7","2.1","1.1","3.4","1.0","7.0","1.9","9.7","2.0","18.8","3.0","17.4","2.9","22.7","2.9","8.7","1.8","8.8","1.9","84415","4962","100418","5627","(X)","(X)","(X)","(X)","(X)","(X)","6352","584","13.9","4.4","13.6","3.6","16.7","3.1","13.0","3.8","20.5","3.7","8.4","2.3","6.0","2.0","5.5","2.4","0.6","0.6","2.0","1.3","28006","2587","44285","6476","(X)","(X)","(X)","(X)","38.3","(X)",
"0500000US01011","Bullock County, Alabama","3453","245","11.0","4.7","11.9","5.1","14.2","5.3","10.6","4.2","17.3","5.3","13.5","4.0","6.9","3.5","11.8","4.4","1.0","1.1","1.7","1.3","36723","6836","51121","5943","61.9","(X)","(X)","(X)","(X)","(X)","2117","267","4.2","3.4","7.6","5.0","8.5","4.6","14.6","6.2","18.8","6.2","16.2","5.8","6.5","4.0","19.2","7.4","1.7","1.7","2.7","2.1","45975","4978","66381","8726","(X)","(X)","58.5","(X)","(X)","(X)","1066","210","3.4","5.0","1.7","2.5","10.2","7.2","3.6","4.3","14.6","8.1","22.9","9.0","6.5","5.7","28.6","13.4","3.1","3.4","5.4","4.2","66731","11340","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1336","232","23.1","10.9","17.6","9.4","23.9","10.4","7.3","5.6","16.9","9.7","9.1","4.9","2.2","2.0","0.0","2.9","0.0","2.9","0.0","2.9","17016","3292","23531","4555","(X)","(X)","(X)","(X)","64.2","(X)",
"0500000US01013","Butler County, Alabama","7262","313","6.6","1.8","4.3","1.3","19.0","3.1","9.0","1.7","15.2","2.8","13.5","2.7","11.6","2.3","11.5","2.1","5.7","1.9","3.5","1.2","44881","4130","69162","5717","42.5","(X)","(X)","(X)","(X)","(X)","4607","300","5.5","2.6","1.9","1.0","12.3","3.7","9.1","2.3","11.2","2.8","15.4","3.4","14.2","3.0","16.8","2.9","8.7","2.7","5.0","1.8","64429","8380","85293","7497","(X)","(X)","46.2","(X)","(X)","(X)","3176","256","2.5","2.6","1.4","1.1","7.3","3.3","5.5","2.2","10.1","3.1","15.7","3.7","18.0","3.7","21.9","4.0","12.2","3.8","5.3","2.4","84931","7257","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2655","303","10.8","3.3","8.6","3.3","29.6","5.6","9.4","3.0","21.7","5.3","10.6","3.7","6.2","2.7","1.7","1.3","0.5","0.7","0.9","0.9","25938","4662","39343","6609","(X)","(X)","(X)","(X)","35.9","(X)",
"0500000US01015","Calhoun County, Alabama","45125","708","7.8","1.1","6.0","0.7","9.0","1.2","10.2","1.5","13.5","1.4","16.5","1.4","13.9","1.4","15.1","1.6","4.4","0.7","3.7","0.8","55826","2168","71879","2931","37.5","(X)","(X)","(X)","(X)","(X)","28018","834","5.1","1.1","2.5","0.7","6.0","1.0","7.7","1.6","12.7","1.7","17.9","1.7","15.7","1.4","20.9","2.1","6.5","1.1","4.9","1.1","71552","3296","87795","4266","(X)","(X)","39.3","(X)","(X)","(X)","19403","798","1.9","0.7","0.8","0.5","3.7","0.9","6.2","1.7","10.9","2.0","16.8","2.0","18.0","1.7","26.0","2.6","8.8","1.6","7.0","1.6","86490","3695","104315","5648","(X)","(X)","(X)","(X)","(X)","(X)","17107","918","13.2","2.2","11.9","1.8","15.2","2.5","15.2","2.5","13.3","2.5","14.2","2.3","10.2","2.5","4.9","1.7","1.0","0.5","0.9","0.5","31557","1577","42683","2679","(X)","(X)","(X)","(X)","33.5","(X)",
"0500000US01017","Chambers County, Alabama","13419","476","4.9","1.4","7.7","2.1","12.3","2.4","12.4","2.3","13.4","2.2","16.4","2.3","11.5","2.5","13.5","2.4","5.0","1.8","2.9","1.2","49295","5005","65673","4281","47.9","(X)","(X)","(X)","(X)","(X)","8945","433","2.6","1.0","3.6","1.7","7.8","2.7","11.4","3.1","14.2","2.7","18.8","3.1","13.9","3.0","17.4","3.2","7.0","2.6","3.2","1.6","63313","6535","76301","5144","(X)","(X)","51.5","(X)","(X)","(X)","5723","461","0.9","0.6","2.7","1.6","4.8","2.1","6.6","2.3","10.8","3.5","22.0","4.3","15.7","4.4","20.9","3.5","10.7","3.7","4.9","2.4","79837","8831","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4474","424","11.3","3.8","15.7","5.0","21.5","4.4","14.8","4.4","12.9","3.8","11.2","3.2","5.4","3.6","5.1","3.0","1.1","1.2","1.1","0.9","26088","4394","38250","4221","(X)","(X)","(X)","(X)","38.1","(X)",
