area_data_type,geography_type,geography_id,geography_desc,total_area,mobilebb_3g_area_st_pct,mobilebb_3g_area_iv_pct,mobilebb_4g_area_st_pct,mobilebb_4g_area_iv_pct,mobilebb_5g_spd1_area_st_pct,mobilebb_5g_spd1_area_iv_pct,mobilebb_5g_spd2_area_st_pct,mobilebb_5g_spd2_area_iv_pct
Total,National,99,Nationwide,9754823.5492,0.0705,0.0481,0.6787,0.4515,0.4692,0.2370,0.3585,0.1606
Total,State,01,Alabama,137027.3652,0.0000,0.0000,0.9457,0.6351,0.5954,0.2872,0.4384,0.2147
Total,State,02,Alaska,1846753.4322,0.0683,0.0444,0.0723,0.0334,0.0151,0.0060,0.0096,0.0043
Total,State,04,Arizona,257307.8110,0.2337,0.1556,0.7412,0.4087,0.3631,0.1564,0.2839,0.1038
Total,State,05,Arkansas,131093.3535,0.0000,0.0000,0.8729,0.4947,0.6312,0.2964,0.4422,0.2108
Total,State,06,California,397513.5844,0.0060,0.0044,0.6871,0.4482,0.5284,0.3002,0.4440,0.2021
Total,State,08,Colorado,247128.8995,0.4204,0.2975,0.7722,0.4974,0.4201,0.1588,0.3198,0.1095
Total,State,09,Connecticut,14073.8967,0.0000,0.0000,0.8776,0.6368,0.8787,0.5761,0.7466,0.4446
Total,State,10,Delaware,6623.8343,0.0000,0.0000,0.8063,0.7174,0.8120,0.5759,0.7225,0.4800
Total,State,11,District of Columbia,182.2252,0.0000,0.0000,1.0000,0.9942,0.9988,0.9803,0.9948,0.9514
Total,State,12,Florida,198855.1201,0.0000,0.0000,0.7687,0.5459,0.7095,0.4557,0.5531,0.3447
Total,State,13,Georgia,164549.3782,0.0000,0.0000,0.9618,0.5976,0.6675,0.3034,0.5009,0.2301
Total,State,15,Hawaii,24733.5457,0.0000,0.0000,0.4652,0.2376,0.3439,0.1669,0.2603,0.1101
Total,State,16,Idaho,218603.0679,0.0297,0.0139,0.5543,0.3571,0.3623,0.1549,0.2931,0.0924
Total,State,17,Illinois,152711.1638,0.0000,0.0000,0.9687,0.7796,0.8366,0.4949,0.6582,0.3381
Total,State,18,Indiana,96508.2698,0.0000,0.0000,0.9843,0.7967,0.8443,0.5040,0.7027,0.4043
Total,State,19,Iowa,146531.2007,0.0000,0.0000,0.9857,0.8150,0.8730,0.5789,0.6264,0.2381
Total,State,20,Kansas,199982.7045,0.0861,0.0596,0.9880,0.8019,0.7902,0.3928,0.5717,0.1918
Total,State,21,Kentucky,110364.2335,0.0000,0.0000,0.8961,0.6025,0.5271,0.2300,0.4013,0.1695
Total,State,22,Louisiana,126615.5636,0.0000,0.0000,0.9363,0.6650,0.6928,0.3987,0.5304,0.2795
Total,State,23,Maine,85237.1657,0.0000,0.0000,0.5925,0.2960,0.4028,0.2144,0.2198,0.0815
Total,State,24,Maryland,33044.1746,0.0000,0.0000,0.8226,0.6690,0.8505,0.5831,0.7247,0.4702
Total,State,25,Massachusetts,26577.0751,0.0000,0.0000,0.7495,0.5549,0.7914,0.5387,0.6826,0.4276
Total,State,26,Michigan,235196.6233,0.0000,0.0000,0.5554,0.3816,0.4242,0.2349,0.3404,0.1921
Total,State,27,Minnesota,214233.5598,0.0000,0.0000,0.9100,0.6635,0.7127,0.3037,0.5576,0.2301
Total,State,28,Mississippi,121516.2066,0.0000,0.0000,0.9615,0.7182,0.6381,0.2923,0.4172,0.1794
Total,State,29,Missouri,178012.2410,0.0000,0.0000,0.9518,0.6909,0.7017,0.3850,0.4994,0.2410
Total,State,30,Montana,394488.6457,0.1016,0.0822,0.7068,0.3753,0.3845,0.1410,0.2829,0.0884
Total,State,31,Nebraska,194523.1104,0.4053,0.2985,0.9276,0.6118,0.5580,0.2190,0.3560,0.0944
